,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
346,Raja Reddy Noti,Residential Plot,32.55,"1,667 / sq ft",1953 ,New
347,Raja Reddy Noti,Residential Plot,49.05,"1,667 / sq ft",2943 ,New
348,Raja Reddy Noti,Residential Plot,29.25,"1,667 / sq ft",1755 ,New
349,Raja Reddy Noti,Residential Plot,38.27,"1,667 / sq ft",2296 ,New
350,Raja Reddy Noti,Residential Plot,30,"1,667 / sq ft",1800 ,New
351,Raja Reddy Noti,Residential Plot,55.05,"1,667 / sq ft",3303 ,New
352,Individual Agent,Residential Plot,12.5,"1,389 / sq ft",900 ,New
353,Mahesh Plots,Residential Plot,2,"1,111 / sq ft",18000 ,New
354,Maxxco,4 ,2.5,"7,668 / sq ft",3260 ,Ready to move
355,MMAB Real Estate,2 ,58,"5,178 / sq ft",1120 ,Ready to move
356,MMAB Real Estate,2 ,45,"4,500 / sq ft",1000 ,Ready to move
357,MMAB Real Estate,5 ,4.6,"12,777 / sq ft",3600 ,Ready to move
358,MMAB Real Estate,2 ,45,"4,500 / sq ft",1000 ,Ready to move
359,MMAB Real Estate,3 ,75,"4,285 / sq ft",1750 ,Ready to move
360,Maxxco,3 ,1,"6,666 / sq ft",1500 ,Under Construction
361,Maxxco,3 ,1.9,"9,263 / sq ft",2051 ,Ready to move
362,MMAB Real Estate,3 ,38.4,"3,555 / sq ft",1080 ,Ready to move
363,MMAB Real Estate,2 ,58,"5,178 / sq ft",1120 ,Ready to move
364,MMAB Real Estate,2 ,45,"4,500 / sq ft",1000 ,Ready to move
365,MMAB Real Estate,5 ,4.6,"12,777 / sq ft",3600 ,Ready to move
366,MMAB Real Estate,2 ,45,"4,500 / sq ft",1000 ,Ready to move
367,MMAB Real Estate,3 ,75,"4,285 / sq ft",1750 ,Ready to move
368,Mahesh Plots,Residential Plot,1,"5,555 / sq ft",1800 ,New
369,Mahesh Plots,Residential Plot,1,"5,555 / sq ft",1800 ,New
370,Mahesh Plots,Residential Plot,1.5,"5,555 / sq ft",2700 ,New
371,Mahesh Plots,Residential Plot,1.5,"5,555 / sq ft",2700 ,New
372,Mahesh Plots,Residential Plot,2,"5,555 / sq ft",3600 ,New
373,Mahesh Plots,Residential Plot,2,"5,555 / sq ft",3600 ,New
374,Mahesh Plots,Residential Plot,2.5,"5,555 / sq ft",4500 ,New
375,Mahesh Plots,Residential Plot,2.5,"5,555 / sq ft",4500 ,New
376,Mahesh Plots,Residential Plot,3,"5,555 / sq ft",5400 ,New
377,Mahesh Plots,Residential Plot,3,"5,555 / sq ft",5400 ,New
378,Mahesh Plots,Residential Plot,3.5,"5,555 / sq ft",6300 ,New
379,Mahesh Plots,Residential Plot,3.5,"5,555 / sq ft",6300 ,New
380,Mahesh Plots,Residential Plot,4,"5,555 / sq ft",7200 ,New
381,Mahesh Plots,Residential Plot,4,"5,555 / sq ft",7200 ,New
382,Mahesh Plots,Residential Plot,4.5,"5,555 / sq ft",8100 ,New
383,Mahesh Plots,Residential Plot,5,"5,555 / sq ft",9000 ,New
384,Mahesh Plots,Residential Plot,5,"5,555 / sq ft",9000 ,New
385,Mahesh Plots,Residential Plot,10,"5,555 / sq ft",18000 ,New
386,Mahesh Plots,Residential Plot,10,"5,555 / sq ft",18000 ,New
387,Mahesh Plots,Residential Plot,1.25,"5,555 / sq ft",2250 ,New
388,Mahesh Plots,Residential Plot,1.25,"5,555 / sq ft",2250 ,New
389,Mahesh Plots,Residential Plot,1.75,"5,555 / sq ft",3150 ,New
390,Mahesh Plots,Residential Plot,1.75,"5,555 / sq ft",3150 ,New
391,Mahesh Plots,Residential Plot,1,"5,555 / sq ft",1800 ,New
392,Mahesh Plots,Residential Plot,2,"5,555 / sq ft",3600 ,New
393,Mahesh Plots,Residential Plot,5,"5,555 / sq ft",9000 ,New
394,Mahesh Plots,Residential Plot,10,"5,555 / sq ft",18000 ,New
395,Mahesh Plots,Residential Plot,1,"5,555 / sq ft",1800 ,New
396,Mahesh Plots,Residential Plot,5,"11,111 / sq ft",4500 ,New
397,Mahesh Plots,Residential Plot,2,"5,555 / sq ft",3600 ,New
398,Mahesh Plots,Residential Plot,10,"11,111 / sq ft",9000 ,New
399,Mahesh Plots,Residential Plot,10,"5,555 / sq ft",18000 ,New
400,Mahesh Plots,Residential Plot,25,"5,555 / sq ft",45000 ,New
401,Mahesh Plots,Residential Plot,1,"5,555 / sq ft",1800 ,New
402,Mahesh Plots,Residential Plot,2,"5,555 / sq ft",3600 ,New
403,Mahesh Plots,Residential Plot,4,"5,555 / sq ft",7200 ,New
404,Mahesh Plots,Residential Plot,5,"5,555 / sq ft",9000 ,New
405,Mahesh Plots,Residential Plot,1,"5,555 / sq ft",1800 ,New
406,Mahesh Plots,Residential Plot,4,"5,555 / sq ft",7200 ,New
407,Mahesh Plots,Residential Plot,2,"5,555 / sq ft",3600 ,New
408,Mahesh Plots,Residential Plot,5,"5,555 / sq ft",9000 ,New
409,Mahesh Plots,Residential Plot,10,"5,555 / sq ft",18000 ,New
410,Mahesh Plots,Residential Plot,4.5,"5,555 / sq ft",8100 ,New
411,Maxxco,3 ,2.35,"7,200 / sq ft",3271 ,Ready to move
412,Maxxco,4 ,2.46,"7,200 / sq ft",3430 ,Ready to move
413,Maxxco,4 ,2.68,"7,200 / sq ft",3731 ,Ready to move
414,USM MyCity,Residential Plot,18.39,511 / sq ft,3600 ,New
415,USM MyCity,Residential Plot,9.19,511 / sq ft,1800 ,New
416,USM MyCity,Residential Plot,7.35,511 / sq ft,1440 ,New
417,USM MyCity,Residential Plot,13.79,511 / sq ft,2700 ,New
418,USM MyCity,Residential Plot,11.49,511 / sq ft,2250 ,New
419,Royal Orchids,Residential Plot,9,500 / sq ft,1800 ,New
420,Suresh M,Residential Plot,16.83,"1,222 / sq ft",1377 ,Resale
421,Suresh M,Residential Plot,44,"1,222 / sq ft",3600 ,Resale
422,Suresh M,Residential Plot,23.97,888 / sq ft,2700 ,New
423,Suresh M,Residential Plot,21.33,888 / sq ft,2403 ,New
424,Suresh M,Residential Plot,14.78,888 / sq ft,1665 ,New
425,Sai Infra,3 ,1.4,"5,600 / sq ft",2500 ,Under Construction
426,Maxxco,3 ,1.35,"7,109 / sq ft",1899 ,Ready to move
427,SREE PROPERTY,3 ,37,"2,859 / sq ft",1294 ,Under Construction
428,SREE PROPERTY,3 ,44,"2,827 / sq ft",1556 ,Under Construction
429,SREE PROPERTY,3 ,1.58,"7,802 / sq ft",2025 ,Under Construction
430,SREE PROPERTY,3 ,1.3,"7,027 / sq ft",1850 ,Ready to move
431,Sai Infra,3 ,1.4,"5,384 / sq ft",2600 ,Under Construction
432,Sai Infra,3 ,1.4,"5,600 / sq ft",2500 ,Under Construction
433,SREE PROPERTY,5 ,7,"10,769 / sq ft",6500 ,Ready to move
434,SREE PROPERTY,3 ,1.8,"8,674 / sq ft",2075 ,Ready to move
435,SREE PROPERTY,3 ,96.5,"6,795 / sq ft",1420 ,Ready to move
436,Sri Avani Infra projects,3 ,66.15,"3,500 / sq ft",1890 ,Under Construction
437,Sri Avani Infra projects,2 ,45.15,"3,500 / sq ft",1290 ,Under Construction
438,Sri Avani Infra projects,2 ,45.15,"3,500 / sq ft",1290 ,Under Construction
439,Sri Avani Infra projects,3 ,66.15,"3,500 / sq ft",1890 ,Under Construction
440,Sri Avani Infra projects,3 ,66.15,"3,500 / sq ft",1890 ,Under Construction
441,Sri Avani Infra projects,4 ,1.8,"6,666 / sq ft",2700 ,Ready to move
442,Sai Infra,2 ,39.9,"3,990 / sq ft",1000 ,Ready to move
443,Sai Infra,3 ,1.4,"5,600 / sq ft",2500 ,Under Construction
444,Suresh M,Residential Plot,21.44,888 / sq ft,2412 ,New
445,Suresh M,Residential Plot,24,888 / sq ft,2700 ,New
446,Sri Avani Infra projects,2 ,28.66,"3,150 / sq ft",910 ,Under Construction
447,Sri Avani Infra projects,3 ,66.15,"3,500 / sq ft",1890 ,Under Construction
448,Sri Avani Infra projects,3 ,66.15,"3,500 / sq ft",1890 ,Under Construction
449,Sai Infra,Residential Plot,27,"1,666 / sq ft",1620 ,New
450,Sai Infra,3 ,1.4,"5,600 / sq ft",2500 ,Under Construction
451,Maxxco,3 ,1.35,"7,301 / sq ft",1849 ,Ready to move
452,Maxxco,4 ,5.75,"10,569 / sq ft",5440 ,Ready to move
453,Shubadha Consultancy India Pvt Ltd,2 ,28.2,"2,699 / sq ft",1045 ,Under Construction
454,Shubadha Consultancy India Pvt Ltd,2 ,27.43,"2,600 / sq ft",1055 ,Under Construction
455,Sri Avani Infra projects,3 ,66.15,"3,500 / sq ft",1890 ,Under Construction
456,Sai Infra,2 ,43,"3,981 / sq ft",1080 ,Ready to move
457,Shubadha Consultancy India Pvt Ltd,2 ,49.35,"4,200 / sq ft",1175 ,Under Construction
458,Shubadha Consultancy India Pvt Ltd,2 ,66.64,"5,600 / sq ft",1190 ,Under Construction
459,Sri Avani Infra projects,2 ,45.15,"3,500 / sq ft",1290 ,Under Construction
460,Maxxco,5 ,8.75,"13,108 / sq ft",6675 ,Under Construction
461,Sai Infra,2 ,28,"2,666 / sq ft",1050 ,Under Construction
462,Sai Infra,2 ,38,"3,769 / sq ft",1008 ,Ready to move
463,Maxxco,3 ,80,"7,142 / sq ft",1120 ,Under Construction
464,Ramesh,2 ,46.5,"3,875 / sq ft",1200 ,Ready to move
465,Ramesh,2 ,47,"3,852 / sq ft",1220 ,Ready to move
466,Ramesh,2 ,45.67,"3,870 / sq ft",1180 ,Ready to move
467,Ramesh,2 ,46.5,"3,875 / sq ft",1200 ,Ready to move
468,Sai Infra,2 ,27,"2,571 / sq ft",1050 ,Under Construction
469,Kosurri Murralii,Residential Plot,51.98,"1,444 / sq ft",3600 ,New
470,Kosurri Murralii,Residential Plot,38.98,"1,444 / sq ft",2700 ,New
471,Sai Infra,2 ,40,"3,968 / sq ft",1008 ,Under Construction
472,SREE PROPERTY,2 ,80,"8,333 / sq ft",960 ,Ready to move
473,Sai Infra,2 ,28,"2,654 / sq ft",1055 ,Under Construction
474,Sai Infra,2 ,38,"3,769 / sq ft",1008 ,Under Construction
475,Sai Infra,2 ,32,"3,516 / sq ft",910 ,Under Construction
476,Maxxco,3 ,1.4,"8,045 / sq ft",1740 ,Ready to move
477,Sai Infra,3 ,1.4,"5,800 / sq ft",2418 ,Under Construction
478,Sai Infra,3 ,1.4,"4,666 / sq ft",3000 ,Under Construction
479,Sai Infra,3 ,1.4,"3,500 / sq ft",4000 ,Under Construction
480,Sai Infra,2 ,40,"3,968 / sq ft",1008 ,Under Construction
481,Sai Infra,2 ,32,"3,516 / sq ft",910 ,Under Construction
482,Sai Infra,3 ,1.4,"5,800 / sq ft",2418 ,Under Construction
483,Earu,Residential Plot,65,"4,513 / sq ft",1440 ,New
484,SREE PROPERTY,3 ,44,"2,827 / sq ft",1556 ,Under Construction
485,Asif,5 ,2.2,"5,500 / sq ft",4000 ,Ready to move
486,Sai Infra,2 ,32,"3,516 / sq ft",910 ,Under Construction
487,Sai Infra,2 ,40,"3,968 / sq ft",1008 ,Under Construction
488,Earu,2 ,16.5,"1,650 / sq ft",1000 ,Under Construction
489,SREE PROPERTY,4 ,2.95,"7,064 / sq ft",4176 ,Ready to move
490,Maxxco,3 ,1.9,"8,636 / sq ft",2200 ,Ready to move
491,Maxxco,2 ,1,"8,064 / sq ft",1240 ,Under Construction
492,Sai Infra,2 ,38,"3,769 / sq ft",1008 ,Under Construction
493,Sai Infra,2 ,29,"3,186 / sq ft",910 ,Under Construction
494,Sai Infra,3 ,1.4,"5,600 / sq ft",2500 ,Under Construction
495,Ramesh,2 ,45.66,"3,869 / sq ft",1180 ,Ready to move
496,MMAB Real Estate,2 ,46,"4,380 / sq ft",1050 ,Ready to move
497,Sai Infra,2 ,30,"3,296 / sq ft",910 ,Under Construction
498,Sai Infra,2 ,39.31,"3,900 / sq ft",1008 ,Ready to move
499,Sai Infra,Residential Plot,34,"1,452 / sq ft",2340 ,New
500,Sai Infra,Residential Plot,40,"2,222 / sq ft",1800 ,New
501,SREE PROPERTY,3 ,1.7,"8,018 / sq ft",2120 ,Ready to move
502,SREE PROPERTY,2 ,86,"7,107 / sq ft",1210 ,Ready to move
503,Sai Infra,2 ,30,"3,157 / sq ft",950 ,Under Construction
504,SREE PROPERTY,2 ,45.5,"2,924 / sq ft",1556 ,Under Construction
505,Shubadha Consultancy India Pvt Ltd,3 ,36.21,"2,799 / sq ft",1294 ,Under Construction
506,Sri Avani Infra projects,2 ,45.15,"3,500 / sq ft",1290 ,Under Construction
507,Shubadha Consultancy India Pvt Ltd,3 ,59,"3,907 / sq ft",1510 ,Under Construction
508,Shubadha Consultancy India Pvt Ltd,2 ,50.31,"3,900 / sq ft",1290 ,Under Construction
509,Shubadha Consultancy India Pvt Ltd,2 ,30,"2,870 / sq ft",1045 ,Under Construction
510,SREE PROPERTY,Residential Plot,2.6,"10,699 / sq ft",2430 ,Resale
511,SREE PROPERTY,Residential Plot,1.7,"7,555 / sq ft",2250 ,Resale
512,SREE PROPERTY,Residential Plot,1.7,839 / sq ft,20250 ,Resale
513,Sai Infra,2 ,32,"3,368 / sq ft",950 ,Under Construction
514,Sai Infra,2 ,50,"4,166 / sq ft",1200 ,Under Construction
515,Nagaraju Realtors,Residential Plot,11.87,"1,000 / sq ft",1188 ,New
516,Nagaraju Realtors,Residential Plot,20.96,"1,000 / sq ft",2097 ,New
517,Nagaraju Realtors,Residential Plot,24.29,"1,000 / sq ft",2429 ,New
518,Nagaraju Realtors,Residential Plot,31.49,"1,000 / sq ft",3150 ,New
519,Nagaraju Realtors,Residential Plot,31.22,"1,000 / sq ft",3123 ,New
520,Nagaraju Realtors,Residential Plot,59.57,"1,000 / sq ft",5958 ,New
521,Nagaraju Realtors,Residential Plot,28.87,"1,000 / sq ft",2888 ,New
522,Nagaraju Realtors,Residential Plot,35.99,"1,000 / sq ft",3599 ,New
523,Nagaraju Realtors,Residential Plot,26.99,"1,000 / sq ft",2700 ,New
524,Nagaraju Realtors,Residential Plot,21.14,"1,000 / sq ft",2114 ,New
525,Nagaraju Realtors,Residential Plot,17.99,"1,000 / sq ft",1800 ,New
526,Nagaraju Realtors,Residential Plot,54.35,"1,000 / sq ft",5436 ,New
527,Nagaraju Realtors,Residential Plot,29.96,"1,000 / sq ft",2997 ,New
528,Nagaraju Realtors,Residential Plot,26.81,"1,000 / sq ft",2682 ,New
529,Nagaraju Realtors,Residential Plot,33.02,"1,000 / sq ft",3302 ,New
530,Nagaraju Realtors,Residential Plot,19.79,"1,000 / sq ft",1980 ,New
531,Nagaraju Realtors,Residential Plot,37.97,"1,000 / sq ft",3798 ,New
532,Nagaraju Realtors,Residential Plot,21.15,"1,000 / sq ft",2115 ,New
533,Nagaraju Realtors,Residential Plot,24.83,"1,000 / sq ft",2483 ,New
534,Sai Infra,Residential Plot,50,"2,222 / sq ft",2250 ,New
535,Sai Infra,2 ,30,"3,157 / sq ft",950 ,Under Construction
536,SREE PROPERTY,3 ,91.75,"5,227 / sq ft",1755 ,Under Construction
537,Sai Infra,Residential Plot,50,"2,222 / sq ft",2250 ,New
538,SREE PROPERTY,3 ,1.21,"6,612 / sq ft",1830 ,Under Construction
539,SREE PROPERTY,Residential Plot,2.77,"7,108 / sq ft",3897 ,Resale
540,Sai Infra,2 ,48.78,"3,999 / sq ft",1220 ,Under Construction
541,New Vision Consultancy,2 ,55,"5,188 / sq ft",1060 ,Ready to move
542,New Vision Consultancy,2 ,49.5,"4,177 / sq ft",1185 ,Under Construction
543,New Vision Consultancy,2 ,49.5,"4,177 / sq ft",1185 ,Under Construction
544,Sai Infra,Residential Plot,52,"2,311 / sq ft",2250 ,New
545,SREE PROPERTY,3 ,1,"8,347 / sq ft",1198 ,Ready to move
546,Sai Infra,2 ,30,"3,157 / sq ft",950 ,Under Construction
547,Sai Infra,2 ,50,"4,166 / sq ft",1200 ,Under Construction
548,Sai Infra,Residential Plot,35,"1,461 / sq ft",2394 ,New
549,Sai Infra,Residential Plot,50,"2,222 / sq ft",2250 ,New
550,Laxmi,Residential Plot,34.02,"1,500 / sq ft",2268 ,Resale
551,Laxmi,Residential Plot,74.79,"1,500 / sq ft",4986 ,Resale
552,Sai Infra,2 ,48.78,"3,999 / sq ft",1220 ,Under Construction
553,Sai Infra,2 ,48.78,"3,999 / sq ft",1220 ,Under Construction
554,Sai Infra,Residential Plot,52,"2,311 / sq ft",2250 ,New
555,Thejas,3 ,90,"6,206 / sq ft",1450 ,Ready to move
556,Thejas,3 ,68,"4,689 / sq ft",1450 ,Ready to move
557,Sai Infra,Residential Plot,50,"2,222 / sq ft",2250 ,New
558,New Vision Consultancy,2 ,27,"3,103 / sq ft",870 ,Ready to move
559,Sri Avani Infra projects,2 ,46.58,"3,611 / sq ft",1290 ,Under Construction
560,Ramesh,2 ,47,"3,852 / sq ft",1220 ,Ready to move
561,Sai Infra,Residential Plot,50,"2,222 / sq ft",2250 ,New
562,New Vision Consultancy,3 ,38,"2,814 / sq ft",1350 ,Ready to move
563,New Vision Consultancy,2 ,30,"2,857 / sq ft",1050 ,Ready to move
564,New Vision Consultancy,2 ,28,"2,666 / sq ft",1050 ,Ready to move
565,Sai Infra,2 ,52,"4,031 / sq ft",1290 ,Under Construction
566,SREE PROPERTY,4 ,3.35,"8,080 / sq ft",4146 ,Under Construction
567,Space Vision,Residential Plot,12.99,722 / sq ft,1800 ,New
568,Md Inayatur rahman,Residential Plot,10.23,688 / sq ft,1485 ,New
569,Md Inayatur rahman,Residential Plot,9.11,688 / sq ft,1323 ,New
570,SREE PROPERTY,3 ,96,"5,245 / sq ft",1830 ,Under Construction
571,Venkata Ganesh kumar Reddy,Residential Plot,21.99,"1,111 / sq ft",1980 ,New
572,Venkata Ganesh kumar Reddy,Residential Plot,34.99,"1,111 / sq ft",3150 ,New
573,SREE PROPERTY,Residential Plot,1.17,"8,125 / sq ft",1440 ,Resale
574,SREE PROPERTY,2 ,67,"5,360 / sq ft",1250 ,Under Construction
575,SREE PROPERTY,2 ,1.03,"7,838 / sq ft",1314 ,Ready to move
576,SREE PROPERTY,4 ,4.55,"11,571 / sq ft",3932 ,Ready to move
577,SREE PROPERTY,3 ,2.44,"8,413 / sq ft",2900 ,Under Construction
578,SREE PROPERTY,4 ,3.4,"8,272 / sq ft",4110 ,Under Construction
579,SREE PROPERTY,3 ,2.45,"7,350 / sq ft",3333 ,Ready to move
580,SREE PROPERTY,2 ,87,"6,850 / sq ft",1270 ,Under Construction
581,SREE PROPERTY,4 ,2.33,"7,158 / sq ft",3255 ,Ready to move
582,Sai Infra,2 ,46,"4,000 / sq ft",1150 ,Under Construction
583,Sri Avani Infra projects,2 ,46.58,"3,611 / sq ft",1290 ,Under Construction
584,Sai Infra,2 ,50,"4,166 / sq ft",1200 ,Under Construction
585,Sai Infra,Residential Plot,40,"2,222 / sq ft",1800 ,New
586,Sai Infra,Residential Plot,35,"1,461 / sq ft",2394 ,New
587,Sai Infra,Residential Plot,52,"2,311 / sq ft",2250 ,New
588,Fudosan Developers and Agency,4 ,1.99,"5,600 / sq ft",3569 ,Under Construction
589,Fudosan Developers and Agency,4 ,2.82,"5,600 / sq ft",5036 ,Under Construction
590,Fudosan Developers and Agency,3 ,2.19,"5,600 / sq ft",3924 ,Under Construction
591,Individual Agent,Residential Plot,50,"2,777 / sq ft",1800 ,New
592,Laxmi,Residential Plot,22.2,"2,055 / sq ft",1080 ,Resale
593,Laxmi,Residential Plot,29.37,"1,223 / sq ft",2400 ,New
594,SREE PROPERTY,Residential Plot,1.7,"3,031 / sq ft",5607 ,Resale
595,SREE PROPERTY,3 ,1.49,"6,696 / sq ft",2225 ,Ready to move
596,SREE PROPERTY,3 ,1.25,"6,756 / sq ft",1850 ,Ready to move
597,Propfinder India Pvt Ltd,3 ,1.5,"7,371 / sq ft",2035 ,Under Construction
598,Propfinder India Pvt Ltd,3 ,1.85,"7,597 / sq ft",2435 ,Under Construction
599,Propfinder India Pvt Ltd,3 ,1.76,"7,371 / sq ft",2390 ,Under Construction
600,Propfinder India Pvt Ltd,3 ,1.57,"7,371 / sq ft",2130 ,Under Construction
601,Propfinder India Pvt Ltd,3 ,1.57,"7,371 / sq ft",2140 ,Under Construction
602,Propfinder India Pvt Ltd,3 ,1.54,"7,371 / sq ft",2090 ,Under Construction
603,Propfinder India Pvt Ltd,3 ,1.64,"7,371 / sq ft",2235 ,Under Construction
604,Propfinder India Pvt Ltd,3 ,1.64,"7,371 / sq ft",2230 ,Under Construction
605,Propfinder India Pvt Ltd,3 ,1.74,"7,371 / sq ft",2370 ,Under Construction
606,Propfinder India Pvt Ltd,3 ,1.6,"7,371 / sq ft",2180 ,Under Construction
607,Propfinder India Pvt Ltd,3 ,1.71,"7,371 / sq ft",2320 ,Under Construction
608,Propfinder India Pvt Ltd,3 ,1.62,"7,371 / sq ft",2200 ,Under Construction
609,Propfinder India Pvt Ltd,3 ,1.52,"7,371 / sq ft",2070 ,Under Construction
610,New Vision Consultancy,2 ,27,"3,103 / sq ft",870 ,Ready to move
611,Sai Infra,Residential Plot,35,"1,461 / sq ft",2394 ,New
612,SREE PROPERTY,Residential Plot,5.33,"6,991 / sq ft",7623 ,Resale
613,Sri Avani Infra projects,2 ,28.66,"3,150 / sq ft",910 ,Under Construction
614,SREE PROPERTY,Residential Plot,1.14,"4,222 / sq ft",2700 ,New
615,Shubadha Consultancy India Pvt Ltd,3 ,90,"4,486 / sq ft",2006 ,Under Construction
616,SREE PROPERTY,3 ,1.48,"7,308 / sq ft",2025 ,Under Construction
617,SREE PROPERTY,3 ,4.3,"8,793 / sq ft",4890 ,Under Construction
618,SREE PROPERTY,3 ,3.35,"8,921 / sq ft",3755 ,Under Construction
619,SREE PROPERTY,3 ,4.5,"10,714 / sq ft",4200 ,Under Construction
620,SREE PROPERTY,4 ,4.9,"11,445 / sq ft",4281 ,Under Construction
621,SREE PROPERTY,3 ,2.5,"6,393 / sq ft",3910 ,Under Construction
622,Sri Avani Infra projects,2 ,40,"4,000 / sq ft",1000 ,Under Construction
623,Thejas,3 ,90,"4,864 / sq ft",1850 ,Under Construction
624,Thejas,3 ,90,"4,864 / sq ft",1850 ,Under Construction
625,Thejas,3 ,90,"4,864 / sq ft",1850 ,Under Construction
626,Thejas,3 ,90,"4,864 / sq ft",1850 ,Under Construction
627,Thejas,3 ,90,"4,864 / sq ft",1850 ,Under Construction
628,Thejas,3 ,90,"4,864 / sq ft",1850 ,Under Construction
629,Thejas,3 ,90,"4,864 / sq ft",1850 ,Under Construction
630,Thejas,3 ,90,"4,864 / sq ft",1850 ,Under Construction
631,Thejas,3 ,90,"4,864 / sq ft",1850 ,Under Construction
632,Thejas,2 ,1.5,"7,500 / sq ft",2000 ,Ready to move
633,SREE PROPERTY,3 ,2.5,"9,615 / sq ft",2600 ,Under Construction
634,SREE PROPERTY,3 ,1.25,"7,288 / sq ft",1715 ,Under Construction
635,New Vision Consultancy,2 ,23,"1,916 / sq ft",1200 ,Ready to move
636,New Vision Consultancy,2 ,23,"1,916 / sq ft",1200 ,Ready to move
637,New Vision Consultancy,2 ,28.4,"2,366 / sq ft",1200 ,Ready to move
638,New Vision Consultancy,2 ,28.4,"2,366 / sq ft",1200 ,Ready to move
639,New Vision Consultancy,2 ,28.4,"2,366 / sq ft",1200 ,Ready to move
640,New Vision Consultancy,2 ,28,"2,333 / sq ft",1200 ,Ready to move
641,SREE PROPERTY,3 ,1.53,"8,342 / sq ft",1834 ,Ready to move
642,B Suresh Chandra,Residential Plot,15,555 / sq ft,2700 ,New
643,Md Inayatur rahman,Residential Plot,8.08,611 / sq ft,1323 ,New
644,Fudosan Developers and Agency,4 ,2.76,"5,600 / sq ft",4945 ,Under Construction
645,Fudosan Developers and Agency,3 ,1.2,"5,600 / sq ft",2150 ,Under Construction
646,Fudosan Developers and Agency,4 ,3.06,"5,600 / sq ft",5467 ,Under Construction
647,Fudosan Developers and Agency,4 ,4.17,"7,000 / sq ft",5962 ,Under Construction
648,Fudosan Developers and Agency,3 ,94.47,"5,600 / sq ft",1687 ,Under Construction
649,Fudosan Developers and Agency,4 ,3.23,"5,600 / sq ft",5783 ,Under Construction
650,Fudosan Developers and Agency,3 ,1.19,"5,600 / sq ft",2132 ,Under Construction
651,Fudosan Developers and Agency,4 ,3.56,"5,600 / sq ft",6374 ,Under Construction
652,Fudosan Developers and Agency,4 ,3.56,"5,600 / sq ft",6371 ,Under Construction
653,Fudosan Developers and Agency,3 ,93.68,"5,600 / sq ft",1673 ,Under Construction
654,Fudosan Developers and Agency,4 ,3.71,"7,000 / sq ft",5303 ,Under Construction
655,Fudosan Developers and Agency,3 ,1.04,"5,600 / sq ft",1874 ,Under Construction
656,Fudosan Developers and Agency,4 ,4.29,"5,600 / sq ft",7674 ,Under Construction
657,Fudosan Developers and Agency,3 ,1.22,"5,600 / sq ft",2191 ,Under Construction
658,Fudosan Developers and Agency,4 ,3.6,"5,600 / sq ft",6434 ,Under Construction
659,Fudosan Developers and Agency,3 ,1,"5,600 / sq ft",1792 ,Under Construction
660,Fudosan Developers and Agency,3 ,1.23,"5,600 / sq ft",2208 ,Under Construction
661,Fudosan Developers and Agency,3 ,89.43,"5,600 / sq ft",1597 ,Under Construction
662,Sai Infra,Residential Plot,35,"2,342 / sq ft",1494 ,New
663,Sai Infra,Residential Plot,38.5,"1,608 / sq ft",2394 ,New
664,Thejas,2 ,86,"4,777 / sq ft",1800 ,Ready to move
665,Thejas,2 ,86,"4,777 / sq ft",1800 ,Ready to move
666,Thejas,2 ,72,"4,800 / sq ft",1500 ,Ready to move
667,Thejas,2 ,72,"4,800 / sq ft",1500 ,Ready to move
668,Sri Avani Infra projects,2 ,46,"3,565 / sq ft",1290 ,Under Construction
669,MMAB Real Estate,3 ,1.1,"4,888 / sq ft",2250 ,Ready to move
670,MMAB Real Estate,3 ,90,"4,500 / sq ft",2000 ,Ready to move
671,Sai Infra,Residential Plot,38,"2,543 / sq ft",1494 ,New
672,Sai Infra,Residential Plot,35,"1,461 / sq ft",2394 ,New
